coordination on paint,,,,,,,,,,After convert,,,,,,
H2,"Amount adsorbed, cm3(STP)/g",,,,,,,,,H2,"Amount adsorbed, cm3(STP)/g",,,,,
log,pixel,,,,,,,,,,log,,,,,
Maxsorb,,Carbosieve,,Norit,,,,,,,Maxsorb,,Carbosieve,,Norit,
relative Pressure,cm3(STP)/g,relative Pressure,cm3(STP)/g,relative Pressure,cm3(STP)/g,,,y min,y max,,relative Pressure,cm3(STP)/g,relative Pressure,cm3(STP)/g,relative Pressure,cm3(STP)/g
444,239,588,414,444,432,,,,,,0.249695493,685.3707415,0.425091352,334.6693387,0.249695493,298.5971944
486,220,630,413,486,430,,,,,,0.300852619,723.4468938,0.476248477,336.6733467,0.300852619,302.6052104
524,208,671,413,527,428,,,,,,0.347137637,747.49499,0.526187576,336.6733467,0.350791717,306.6132265
569,202,710,412,569,426,,,,,,0.401948843,759.5190381,0.573690621,338.6773547,0.401948843,310.6212425
609,199,751,412,609,424,,,,,,0.450669915,765.5310621,0.62362972,338.6773547,0.450669915,314.6292585
649,194,793,411,651,422,,,,,,0.499390987,775.5511022,0.674786845,340.6813627,0.50182704,318.6372745
692,193,835,410,691,420,,,,,,0.551766139,777.5551102,0.725943971,342.6853707,0.550548112,322.6452906
732,189,875,409,731,419,,,,,,0.600487211,785.5711423,0.774665043,344.6893788,0.599269184,324.6492986
772,186,915,407,771,416,,,,,,0.649208283,791.5831663,0.823386114,348.6973948,0.647990256,330.6613226
814,185,958,407,814,413,,,,,,0.700365408,793.5871743,0.875761267,348.6973948,0.700365408,336.6733467
854,183,998,407,854,410,,,,,,0.74908648,797.5951904,0.924482339,348.6973948,0.74908648,342.6853707
894,181,,,896,408,,,,,,0.797807552,801.6032064,,,0.800243605,346.6933868
936,178,,,936,406,,,,,,0.848964677,807.6152305,,,0.848964677,350.7014028
979,174,,,976,405,,,,,,0.901339829,815.6312625,,,0.897685749,352.7054108
1017,171,,,1019,400,,,,,,0.947624848,821.6432866,,,0.950060901,362.7254509
1043,168,,,,,,,,,,0.979293544,827.6553106,,,,
