# Carbopack F Graphitized Carbon Black, Ar, 77 K, data
# L. Gardner et al., J. Phys. Chem. B 105 (2001).
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 3.173 [cm3(STP)/g], S(BET) = 5.88 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 5.88/3.173 = slope[cm3(STP)/g] * 1.853136
# [pyGAPS] BET surface area: a = 6 m2/g, The BET constant is: C = 796, Amount for a monolayer: n = 8e-05 mol/g
#   Amount for a monolayer: n = 8e-05 / (1/1000/22.414) = 8e-05 / 4.461e-5 = 1.79332 [cm3(STP)/g]
# graphitized carbon black (Carbopack F) 
# P/P0, alpha-s, V[cm3(STP)/g], t[nm]
0.728, 1.62, 5.14026, 0.963089332
0.741, 1.64, 5.20372, 0.974979323
0.75, 1.67, 5.29891, 0.992814311
0.76, 1.69, 5.36237, 1.004704303
0.77, 1.71, 5.42583, 1.016594294
0.78, 1.73, 5.48929, 1.028484286
0.79, 1.75, 5.55275, 1.040374278
0.8, 1.77, 5.61621, 1.05226427
0.81, 1.79, 5.67967, 1.064154261
0.819, 1.82, 5.77486, 1.081989249
0.829, 1.85, 5.87005, 1.099824237
0.839, 1.88, 5.96524, 1.117659224
0.848, 1.92, 6.09216, 1.141439208
0.854, 1.96, 6.21908, 1.165219191
0.859, 2.02, 6.40946, 1.200889166
0.865, 2.11, 6.69503, 1.254394129
0.872, 2.18, 6.91714, 1.2960091
0.9, 2.34, 7.42482, 1.391129034
0.93, 2.52, 7.99596, 1.49813896
0.937, 2.59, 8.21807, 1.539753931
0.947, 2.72, 8.63056, 1.617038878
0.956, 2.93, 9.29689, 1.741883791
0.97, 3.21, 10.18533, 1.908343675
0.978, 3.39, 10.75647, 2.015353601
0.985, 3.67, 11.64491, 2.181813486
0.991, 3.94, 12.50162, 2.342328374
