pressure_mode,relative
pressure_unit,None
material_basis,mass
material_unit,g
loading_basis,molar
loading_unit,cm3(STP)
temperature_unit,K
adsorbate,nitrogen
material,CarbonBlack
temperature,77.355
model_from,BET
material_batch,Test
date,21/05/2010 00:00
t_act,200.0
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,True
adsorbent_basis,mass
adsorbent_unit,g
file_version,3.0
data:[pressure,loading,branch,(otherdata)]
pressure,loading,branch
0.55555556,14.78018882,ads
0.55655656,14.81202985,ads
0.55755756,14.84400835,ads
0.55855856,14.87612522,ads
0.55955956,14.90838133,ads
0.56056056,14.94077762,ads
0.56156156,14.97331499,ads
0.56256256,15.00599436,ads
0.56356356,15.03881668,ads
0.56456456,15.07178287,ads
0.56556557,15.10489388,ads
0.56656657,15.13815068,ads
0.56756757,15.17155423,ads
0.56856857,15.2051055,ads
0.56956957,15.23880547,ads
0.57057057,15.27265514,ads
0.57157157,15.3066555,ads
0.57257257,15.34080756,ads
0.57357357,15.37511234,ads
0.57457458,15.40957088,ads
0.57557558,15.44418419,ads
0.57657658,15.47895333,ads
0.57757758,15.51387936,ads
0.57857858,15.54896333,ads
0.57957958,15.58420633,ads
0.58058058,15.61960943,ads
0.58158158,15.65517373,ads
0.58258258,15.69090033,ads
0.58358358,15.72679035,ads
0.58458458,15.76284491,ads
0.58558559,15.79906515,ads
0.58658659,15.8354522,ads
0.58758759,15.87200723,ads
0.58858859,15.9087314,ads
0.58958959,15.94562588,ads
0.59059059,15.98269187,ads
0.59159159,16.01993056,ads
0.59259259,16.05734317,ads
0.59359359,16.09493091,ads
0.5945946,16.13269502,ads
0.5955956,16.17063674,ads
0.5965966,16.20875733,ads
0.5975976,16.24705805,ads
0.5985986,16.28554019,ads
0.5995996,16.32420504,ads
0.6006006,16.3630539,ads
0.6016016,16.40208808,ads
0.6026026,16.44130893,ads
0.6036036,16.48071778,ads
0.6046046,16.52031598,ads
0.60560561,16.56010491,ads
0.60660661,16.60008594,ads
0.60760761,16.64026047,ads
0.60860861,16.68062991,ads
0.60960961,16.72119568,ads
0.61061061,16.76195922,ads
0.61161161,16.80292197,ads
0.61261261,16.84408541,ads
0.61361361,16.885451,ads
0.61461462,16.92702024,ads
0.61561562,16.96879464,ads
0.61661662,17.01077572,ads
0.61761762,17.05296502,ads
0.61861862,17.0953641,ads
0.61961962,17.13797451,ads
0.62062062,17.18079786,ads
0.62162162,17.22383572,ads
0.62262262,17.26708973,ads
0.62362362,17.31056151,ads
0.62462463,17.35425272,ads
0.62562563,17.39816501,ads
0.62662663,17.44230007,ads
0.62762763,17.48665961,ads
0.62862863,17.53124533,ads
0.62962963,17.57605897,ads
0.63063063,17.62110229,ads
0.63163163,17.66637705,ads
0.63263263,17.71188505,ads
0.63363363,17.75762808,ads
0.63463464,17.80360799,ads
0.63563564,17.8498266,ads
0.63663664,17.89628578,ads
0.63763764,17.94298743,ads
0.63863864,17.98993343,ads
0.63963964,18.03712572,ads
0.64064064,18.08456623,ads
0.64164164,18.13225694,ads
0.64264264,18.18019982,ads
0.64364364,18.22839688,ads
0.64464464,18.27685015,ads
0.64564565,18.32556168,ads
0.64664665,18.37453353,ads
0.64764765,18.4237678,ads
0.64864865,18.4732666,ads
0.64964965,18.52303208,ads
0.65065065,18.57306639,ads
0.65165165,18.62337171,ads
0.65265265,18.67395026,ads
0.65365365,18.72480427,ads
0.65465466,18.77593599,ads
0.65565566,18.82734771,ads
0.65665666,18.87904173,ads
0.65765766,18.93102038,ads
0.65865866,18.98328602,ads
0.65965966,19.03584103,ads
0.66066066,19.08868783,ads
0.66166166,19.14182885,ads
0.66266266,19.19526656,ads
0.66366366,19.24900344,ads
0.66466466,19.30304201,ads
0.66566567,19.35738483,ads
0.66666667,19.41203448,ads
0.66766767,19.46699354,ads
0.66866867,19.52226467,ads
0.66966967,19.57785053,ads
0.67067067,19.63375381,ads
0.67167167,19.68997724,ads
0.67267267,19.74652358,ads
0.67367367,19.80339562,ads
0.67467468,19.86059617,ads
0.67567568,19.91812811,ads
0.67667668,19.97599431,ads
0.67767768,20.03419769,ads
0.67867868,20.09274121,ads
0.67967968,20.15162787,ads
0.68068068,20.21086068,ads
0.68168168,20.27044271,ads
0.68268268,20.33037706,ads
0.68368368,20.39066686,ads
0.68468468,20.45131528,ads
0.68568569,20.51232553,ads
0.68668669,20.57370086,ads
0.68768769,20.63544456,ads
0.68868869,20.69755995,ads
0.68968969,20.7600504,ads
0.69069069,20.82291932,ads
0.69169169,20.88617015,ads
0.69269269,20.94980639,ads
0.69369369,21.01383156,ads
0.6946947,21.07824926,ads
0.6956957,21.14306309,ads
0.6966967,21.20827672,ads
0.6976977,21.27389387,ads
0.6986987,21.33991828,ads
0.6996997,21.40635377,ads
0.7007007,21.47320419,ads
0.7017017,21.54047342,ads
0.7027027,21.60816544,ads
0.7037037,21.67628422,ads
0.7047047,21.74483382,ads
0.70570571,21.81381834,ads
0.70670671,21.88324194,ads
0.70770771,21.95310881,ads
0.70870871,22.02342322,ads
0.70970971,22.09418948,ads
0.71071071,22.16541196,ads
0.71171171,22.23709509,ads
0.71271271,22.30924334,ads
0.71371371,22.38186127,ads
0.71471472,22.45495347,ads
0.71571572,22.52852461,ads
0.71671672,22.60257941,ads
0.71771772,22.67712265,ads
0.71871872,22.75215918,ads
0.71971972,22.82769391,ads
0.72072072,22.90373183,ads
0.72172172,22.98027798,ads
0.72272272,23.05733746,ads
0.72372372,23.13491547,ads
0.72472472,23.21301725,ads
0.72572573,23.29164813,ads
0.72672673,23.3708135,ads
0.72772773,23.45051882,ads
0.72872873,23.53076965,ads
0.72972973,23.6115716,ads
0.73073073,23.69293037,ads
0.73173173,23.77485173,ads
0.73273273,23.85734154,ads
0.73373373,23.94040574,ads
0.73473474,24.02405035,ads
0.73573574,24.10828147,ads
0.73673674,24.1931053,ads
0.73773774,24.2785281,ads
0.73873874,24.36455626,ads
0.73973974,24.45119622,ads
0.74074074,24.53845453,ads
0.74174174,24.62633785,ads
0.74274274,24.7148529,ads
0.74374374,24.80400653,ads
0.74474474,24.89380567,ads
0.74574575,24.98425736,ads
0.74674675,25.07536874,ads
0.74774775,25.16714704,ads
0.74874875,25.25959962,ads
0.74974975,25.35273394,ads
0.75075075,25.44655757,ads
0.75175175,25.54107818,ads
0.75275275,25.63630357,ads
0.75375375,25.73224166,ads
0.75475476,25.82890048,ads
0.75575576,25.92628818,ads
0.75675676,26.02441302,ads
0.75775776,26.12328343,ads
0.75875876,26.22290792,ads
0.75975976,26.32329515,ads
0.76076076,26.42445393,ads
0.76176176,26.52639317,ads
0.76276276,26.62912195,ads
0.76376376,26.73264947,ads
0.76476476,26.83698508,ads
0.76576577,26.94213829,ads
0.76676677,27.04811875,ads
0.76776777,27.15493624,ads
0.76876877,27.26260074,ads
0.76976977,27.37112235,ads
0.77077077,27.48051135,ads
0.77177177,27.59077818,ads
0.77277277,27.70193345,ads
0.77377377,27.81398794,ads
0.77477478,27.92695261,ads
0.77577578,28.04083859,ads
0.77677678,28.1556572,ads
